CodigoInstitucion,Nombre,Puntaje,Ano
MU151,MUNICIPALIDAD DE LOS ALAMOS,68.34,2018
MU001,MUNICIPALIDAD DE ALGARROBO,40.63,2018
MU028,MUNICIPALIDAD DE CARAHUE,93.22,2018
MU094,MUNICIPALIDAD DE FRUTILLAR,93.66,2018
MU207,MUNICIPALIDAD DE PELLUHUE,44.12,2018
MU048,MUNICIPALIDAD DE COBQUECURA,40.63,2018
MU342,MUNICIPALIDAD DE YERBAS BUENAS,46.56,2018
MU090,MUNICIPALIDAD DE FLORIDA,93.66,2018
MU131,MUNICIPALIDAD DE LAJA,93.22,2018
MU252,MUNICIPALIDAD DE QUILLÓN,83.23,2018
MU043,MUNICIPALIDAD DE CHILLÁN VIEJO,93.66,2018
MU158,MUNICIPALIDAD DE LOTA,100.00,2018
MU282,MUNICIPALIDAD DE SAN CARLOS,77.65,2018
MU313,MUNICIPALIDAD DE TALCAHUANO,88.83,2018
MU325,MUNICIPALIDAD DE TORRES DEL PAINE,100.00,2018
MU013,MUNICIPALIDAD DE PUERTO AYSÉN,81.00,2018
MU285,MUNICIPALIDAD DE SAN FABIÁN,76.94,2018
MU181,MUNICIPALIDAD DE NEGRETE,0.00,2018
MU208,MUNICIPALIDAD DE PEMUCO,93.22,2018
MU030,MUNICIPALIDAD DE CASABLANCA,93.22,2018
MU037,MUNICIPALIDAD DE CHANCO,88.13,2018
MU191,MUNICIPALIDAD DE OSORNO,100.00,2018
MU044,MUNICIPALIDAD DE CHIMBARONGO,93.22,2018
MU047,MUNICIPALIDAD DE CISNES,100.00,2018
MU070,MUNICIPALIDAD DE COYHAIQUE,82.19,2018
MU060,MUNICIPALIDAD DE COMBARBALÁ,93.22,2018
MU064,MUNICIPALIDAD DE CONSTITUCIÓN,32.94,2018
MU077,MUNICIPALIDAD DE CUREPTO,40.63,2018
MU101,MUNICIPALIDAD DE GUAITECAS,100.00,2018
MU216,MUNICIPALIDAD DE PEUMO,25.36,2018
MU050,MUNICIPALIDAD DE COCHRANE,100.00,2018
MU281,MUNICIPALIDAD DE SAN BERNARDO,93.66,2018
MU100,MUNICIPALIDAD DE GRANEROS,46.56,2018
MU102,MUNICIPALIDAD DE HIJUELAS,88.13,2018
MU007,MUNICIPALIDAD DE ANDACOLLO,86.42,2018
MU205,MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,87.34,2018
MU114,MUNICIPALIDAD DE ISLA DE PASCUA,5.00,2018
MU341,MUNICIPALIDAD DE VITACURA,100.00,2018
MU123,MUNICIPALIDAD DE LA LIGUA,46.56,2018
MU187,MUNICIPALIDAD DE O'HIGGINS,93.22,2018
MU268,MUNICIPALIDAD DE RETIRO,38.53,2018
MU273,MUNICIPALIDAD DE RÍO IBÁÑEZ,76.25,2018
MU326,MUNICIPALIDAD DE TORTEL,100.00,2018
MU192,MUNICIPALIDAD DE OVALLE,100.00,2018
MU195,MUNICIPALIDAD DE PAIHUANO,93.22,2018
MU203,MUNICIPALIDAD DE PAREDONES,0.00,2018
MU276,MUNICIPALIDAD DE ROMERAL,38.53,2018
MU213,MUNICIPALIDAD DE PERALILLO,93.22,2018
MU332,MUNICIPALIDAD DE VALPARAÍSO,87.34,2018
MU140,MUNICIPALIDAD DE LINARES,93.66,2018
MU204,MUNICIPALIDAD DE PARRAL,49.71,2018
MU143,MUNICIPALIDAD DE LLAY LLAY,93.22,2018
MU147,MUNICIPALIDAD DE LOLOL,93.22,2018
MU023,MUNICIPALIDAD DE CALLE LARGA,93.22,2018
MU169,MUNICIPALIDAD DE MAULE,86.42,2018
MU311,MUNICIPALIDAD DE TALAGANTE,100.00,2018
MU222,MUNICIPALIDAD DE PITRUFQUÉN,100.00,2018
MU262,MUNICIPALIDAD DE RAUCO,93.66,2018
MU240,MUNICIPALIDAD DE PUQUELDÓN,0.00,2018
MU080,MUNICIPALIDAD DE DIEGO DE ALMAGRO,100.00,2018
MU156,MUNICIPALIDAD DE LOS SAUCES,100.00,2018
MU062,MUNICIPALIDAD DE CONCHALÍ,93.66,2018
MU239,MUNICIPALIDAD DE PUNTA ARENAS,100.00,2018
MU279,MUNICIPALIDAD DE SALAMANCA,100.00,2018
MU166,MUNICIPALIDAD DE MARÍA ELENA,81.00,2018
MU125,MUNICIPALIDAD DE LA REINA,100.00,2018
MU113,MUNICIPALIDAD DE ISLA DE MAIPO,95.00,2018
MU145,MUNICIPALIDAD DE LO ESPEJO,49.71,2018
MU073,MUNICIPALIDAD DE CURACAVÍ,100.00,2018
MU272,MUNICIPALIDAD DE RÍO HURTADO,87.34,2018
MU005,MUNICIPALIDAD DE ALTO HOSPICIO,81.00,2018
MU297,MUNICIPALIDAD DE SAN PEDRO DE MELIPILLA,0.00,2018
MU221,MUNICIPALIDAD DE PIRQUE,100.00,2018
MU244,MUNICIPALIDAD DE PUTRE,0.00,2018
MU226,MUNICIPALIDAD DE POZO ALMONTE,100.00,2018
MU110,MUNICIPALIDAD DE ILLAPEL,93.66,2018
MU115,MUNICIPALIDAD DE JUAN FERNÁNDEZ,69.66,2018
MU118,MUNICIPALIDAD DE LA CRUZ,77.65,2018
MU129,MUNICIPALIDAD DE LAGO VERDE,0.00,2018
MU157,MUNICIPALIDAD DE LOS VILOS,100.00,2018
MU238,MUNICIPALIDAD DE PUNITAQUI,100.00,2018
MU271,MUNICIPALIDAD DE RÍO CLARO,100.00,2018
MU179,MUNICIPALIDAD DE NANCAGUA,100.00,2018
MU306,MUNICIPALIDAD DE SANTA JUANA,46.56,2018
MU299,MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,46.56,2018
MU206,MUNICIPALIDAD DE PELARCO,76.25,2018
MU284,MUNICIPALIDAD DE SAN ESTEBAN,46.56,2018
MU287,MUNICIPALIDAD DE SAN FERNANDO,0.00,2018
MU209,MUNICIPALIDAD DE PENCAHUE,46.56,2018
MU290,MUNICIPALIDAD DE SAN JAVIER,46.56,2018
MU303,MUNICIPALIDAD DE SAN VICENTE DE TAGUA TAGUA,95.00,2018
MU305,MUNICIPALIDAD DE SANTA CRUZ,81.00,2018
MU307,MUNICIPALIDAD DE SANTA MARÍA,93.66,2018
MU215,MUNICIPALIDAD DE PETORCA,93.22,2018
MU243,MUNICIPALIDAD DE PUTAENDO,0.00,2018
MU300,MUNICIPALIDAD DE SAN RAFAEL,0.00,2018
MU266,MUNICIPALIDAD DE RENGO,46.56,2018
MU333,MUNICIPALIDAD DE VICHUQUÉN,86.42,2018
MU138,MUNICIPALIDAD DE LICANTÉN,92.51,2018
MU087,MUNICIPALIDAD DE EMPEDRADO,74.66,2018
MU139,MUNICIPALIDAD DE LIMACHE,49.71,2018
MU269,MUNICIPALIDAD DE RINCONADA,88.66,2018
MU338,MUNICIPALIDAD DE VILLA ALEMANA,88.83,2018
MU345,MUNICIPALIDAD DE ZAPALLAR,93.66,2018
MU152,MUNICIPALIDAD DE LOS ANDES,49.71,2018
MU175,MUNICIPALIDAD DE MONTE PATRIA,83.23,2018
MU051,MUNICIPALIDAD DE CODEGUA,56.82,2018
MU229,MUNICIPALIDAD DE PUCHUNCAVÍ,40.63,2018
MU223,MUNICIPALIDAD DE PLACILLA,79.64,2018
MU253,MUNICIPALIDAD DE QUILLOTA,81.00,2018
MU126,MUNICIPALIDAD DE LA SERENA,100.00,2018
MU183,MUNICIPALIDAD DE NOGALES,93.66,2018
MU201,MUNICIPALIDAD DE PANQUEHUE,100.00,2018
MU120,MUNICIPALIDAD DE LA FLORIDA,100.00,2018
MU133,MUNICIPALIDAD DE LANCO,100.00,2018
MU008,MUNICIPALIDAD DE ANGOL,87.34,2018
MU319,MUNICIPALIDAD DE TILTIL,0.00,2018
MU121,MUNICIPALIDAD DE LA GRANJA,87.61,2018
MU265,MUNICIPALIDAD DE RENCA,100.00,2018
MU193,MUNICIPALIDAD DE PADRE HURTADO,81.00,2018
MU176,MUNICIPALIDAD DE MOSTAZAL,36.66,2018
MU024,MUNICIPALIDAD DE CAMARONES,76.25,2018
MU081,MUNICIPALIDAD DE DOÑIHUE,93.22,2018
MU045,MUNICIPALIDAD DE CHOLCHOL,87.34,2018
MU270,MUNICIPALIDAD DE RIO BUENO,87.34,2018
MU099,MUNICIPALIDAD DE GORBEA,100.00,2018
MU247,MUNICIPALIDAD DE QUELLÓN,100.00,2018
MU274,MUNICIPALIDAD DE RÍO NEGRO,100.00,2018
MU096,MUNICIPALIDAD DE FUTRONO,93.66,2018
MU241,MUNICIPALIDAD DE PURÉN,100.00,2018
MU161,MUNICIPALIDAD DE MACUL,100.00,2018
MU165,MUNICIPALIDAD DE MARCHIGUE,93.22,2018
MU074,MUNICIPALIDAD DE CURACO DE VÉLEZ,87.34,2018
MU184,MUNICIPALIDAD DE NUEVA IMPERIAL,100.00,2018
MU317,MUNICIPALIDAD DE TEODORO SCHMIDT,93.66,2018
MU107,MUNICIPALIDAD DE HUARA,75.54,2018
MU294,MUNICIPALIDAD DE SAN MIGUEL,93.66,2018
MU296,MUNICIPALIDAD DE SAN PABLO,100.00,2018
MU036,MUNICIPALIDAD DE CHAITÉN,100.00,2018
MU335,MUNICIPALIDAD DE VICUÑA,82.19,2018
MU137,MUNICIPALIDAD DE LEBU,0.00,2018
MU210,MUNICIPALIDAD DE PENCO,86.42,2018
MU309,MUNICIPALIDAD DE SANTO DOMINGO,38.53,2018
MU119,MUNICIPALIDAD DE LA ESTRELLA,74.66,2018
MU337,MUNICIPALIDAD DE VILLA ALEGRE,93.22,2018
MU059,MUNICIPALIDAD DE COLTAUCO,77.65,2018
MU202,MUNICIPALIDAD DE PAPUDO,49.71,2018
MU257,MUNICIPALIDAD DE QUINTA NORMAL,100.00,2018
MU055,MUNICIPALIDAD DE COLBÚN,100.00,2018
MU063,MUNICIPALIDAD DE CONCÓN,0.00,2018
MU198,MUNICIPALIDAD DE PALENA,0.00,2018
MU267,MUNICIPALIDAD DE REQUÍNOA,93.22,2018
MU053,MUNICIPALIDAD DE COIHUECO,100.00,2018
MU054,MUNICIPALIDAD DE COINCO,36.66,2018
MU003,MUNICIPALIDAD DE ALTO BÍOBÍO,32.94,2018
MU304,MUNICIPALIDAD DE SANTA BÁRBARA,86.42,2018
MU075,MUNICIPALIDAD DE CURANILAHUE,85.71,2018
MU258,MUNICIPALIDAD DE QUINTERO,93.22,2018
MU259,MUNICIPALIDAD DE QUIRIHUE,46.56,2018
MU218,MUNICIPALIDAD DE PICHIDEGUA,25.00,2018
MU324,MUNICIPALIDAD DE TOME,93.66,2018
MU083,MUNICIPALIDAD DE EL CARMEN,46.56,2018
MU134,MUNICIPALIDAD DE LAS CABRAS,88.13,2018
MU012,MUNICIPALIDAD DE ARICA,82.19,2018
MU277,MUNICIPALIDAD DE PUERTO SAAVEDRA,0.00,2018
MU327,MUNICIPALIDAD DE TRAIGUÉN,93.22,2018
MU091,MUNICIPALIDAD DE FREIRE,81.00,2018
MU171,MUNICIPALIDAD DE MEJILLONES,70.31,2018
MU315,MUNICIPALIDAD DE TEMUCO,93.66,2018
MU331,MUNICIPALIDAD DE VALLENAR,100.00,2018
MU027,MUNICIPALIDAD DE CAÑETE,0.00,2018
MU019,MUNICIPALIDAD DE CALAMA,88.13,2018
MU011,MUNICIPALIDAD DE ARAUCO,100.00,2018
MU041,MUNICIPALIDAD DE CHILE CHICO,100.00,2018
MU016,MUNICIPALIDAD DE CABILDO,100.00,2018
MU076,MUNICIPALIDAD DE CURARREHUE,93.22,2018
MU098,MUNICIPALIDAD DE GENERAL LAGOS,81.00,2018
MU310,MUNICIPALIDAD DE SIERRA GORDA,100.00,2018
MU261,MUNICIPALIDAD DE RÁNQUIL,92.69,2018
MU135,MUNICIPALIDAD DE LAS CONDES,81.00,2018
MU061,MUNICIPALIDAD DE CONCEPCIÓN,100.00,2018
MU010,MUNICIPALIDAD DE ANTUCO,93.22,2018
MU160,MUNICIPALIDAD DE MACHALÍ,0.00,2018
MU314,MUNICIPALIDAD DE TALTAL,70.31,2018
MU093,MUNICIPALIDAD DE FRESIA,93.22,2018
MU042,MUNICIPALIDAD DE CHILLÁN,92.69,2018
MU180,MUNICIPALIDAD DE NAVIDAD,76.25,2018
MU164,MUNICIPALIDAD DE MALLOA,46.56,2018
MU018,MUNICIPALIDAD DE CABRERO,93.22,2018
MU153,MUNICIPALIDAD DE LOS ANGELES,0.00,2018
MU052,MUNICIPALIDAD DE COELEMU,0.00,2018
MU188,MUNICIPALIDAD DE OLIVAR,93.22,2018
MU103,MUNICIPALIDAD DE HUALAIHUÉ,100.00,2018
MU260,MUNICIPALIDAD DE RANCAGUA,88.83,2018
MU105,MUNICIPALIDAD DE HUALPÉN,93.22,2018
MU057,MUNICIPALIDAD DE COLINA,93.22,2018
MU178,MUNICIPALIDAD DE NACIMIENTO,86.42,2018
MU104,MUNICIPALIDAD DE HUALAÑÉ,88.13,2018
MU014,MUNICIPALIDAD DE BUIN,92.51,2018
MU289,MUNICIPALIDAD DE SAN IGNACIO,44.12,2018
MU004,MUNICIPALIDAD DE ALTO DEL CARMEN,100.00,2018
MU049,MUNICIPALIDAD DE COCHAMÓ,93.22,2018
MU106,MUNICIPALIDAD DE HUALQUI,72.06,2018
MU200,MUNICIPALIDAD DE PANGUIPULLI,82.19,2018
MU117,MUNICIPALIDAD DE LA CISTERNA,100.00,2018
MU109,MUNICIPALIDAD DE HUECHURABA,93.66,2018
MU155,MUNICIPALIDAD DE LOS MUERMOS,0.00,2018
MU029,MUNICIPALIDAD DE CARTAGENA,100.00,2018
MU295,MUNICIPALIDAD DE SAN NICOLÁS,49.71,2018
MU116,MUNICIPALIDAD DE LA CALERA,87.34,2018
MU141,MUNICIPALIDAD DE LITUECHE,93.22,2018
MU132,MUNICIPALIDAD DE LAMPA,86.63,2018
MU095,MUNICIPALIDAD DE FUTALEUFÚ,0.00,2018
MU068,MUNICIPALIDAD DE CORONEL,94.06,2018
MU032,MUNICIPALIDAD DE CATEMU,93.22,2018
MU283,MUNICIPALIDAD DE SAN CLEMENTE,46.56,2018
MU009,MUNICIPALIDAD DE ANTOFAGASTA,99.29,2018
MU130,MUNICIPALIDAD DE LAGUNA BLANCA,100.00,2018
MU142,MUNICIPALIDAD DE LLANQUIHUE,30.00,2018
MU072,MUNICIPALIDAD DE CURACAUTÍN,100.00,2018
MU190,MUNICIPALIDAD DE OLMUÉ,79.64,2018
MU214,MUNICIPALIDAD DE PERQUENCO,100.00,2018
MU275,MUNICIPALIDAD DE RÍO VERDE,100.00,2018
MU017,MUNICIPALIDAD DE CABO DE HORNOS Y ANTÁRTICA,93.22,2018
MU038,MUNICIPALIDAD DE CHAÑARAL,100.00,2018
MU163,MUNICIPALIDAD DE MAIPÚ,85.39,2018
MU177,MUNICIPALIDAD DE MULCHÉN,34.69,2018
MU026,MUNICIPALIDAD DE CANELA,74.66,2018
MU264,MUNICIPALIDAD DE RENAICO,74.66,2018
MU015,MUNICIPALIDAD DE BULNES,0.00,2018
MU136,MUNICIPALIDAD DE LAUTARO,99.29,2018
MU159,MUNICIPALIDAD DE LUMACO,0.00,2018
MU250,MUNICIPALIDAD DE QUILICURA,88.13,2018
MU065,MUNICIPALIDAD DE CONTULMO,81.00,2018
MU085,MUNICIPALIDAD DE EL QUISCO,100.00,2018
MU232,MUNICIPALIDAD DE PUENTE ALTO,100.00,2018
MU025,MUNICIPALIDAD DE CAMIÑA,79.64,2018
MU312,MUNICIPALIDAD DE TALCA,88.83,2018
MU234,MUNICIPALIDAD DE PUERTO NATALES,82.19,2018
MU144,MUNICIPALIDAD DE LO BARNECHEA,87.34,2018
MU321,MUNICIPALIDAD DE TIRÚA,32.14,2018
MU182,MUNICIPALIDAD DE NINHUE,0.00,2018
MU248,MUNICIPALIDAD DE QUEMCHI,93.66,2018
MU302,MUNICIPALIDAD DE SAN ROSENDO,100.00,2018
MU021,MUNICIPALIDAD DE CALDERA,0.00,2018
MU067,MUNICIPALIDAD DE COQUIMBO,90.96,2018
MU278,MUNICIPALIDAD DE SAGRADA FAMILIA,0.00,2018
MU320,MUNICIPALIDAD DE TIMAUKEL,80.29,2018
MU280,MUNICIPALIDAD DE SAN ANTONIO,93.22,2018
MU334,MUNICIPALIDAD DE VICTORIA,87.34,2018
MU219,MUNICIPALIDAD DE PICHILEMU,81.19,2018
MU227,MUNICIPALIDAD DE PRIMAVERA,95.00,2018
MU033,MUNICIPALIDAD DE CAUQUENES,88.83,2018
MU040,MUNICIPALIDAD DE CHIGUAYANTE,46.56,2018
MU035,MUNICIPALIDAD DE CERRO NAVIA,100.00,2018
MU328,MUNICIPALIDAD DE TREHUACO,86.42,2018
MU199,MUNICIPALIDAD DE PALMILLA,100.00,2018
MU251,MUNICIPALIDAD DE QUILLECO,73.95,2018
MU256,MUNICIPALIDAD DE QUINTA DE TILCOCO,82.19,2018
MU344,MUNICIPALIDAD DE YUNGAY,0.00,2018
MU316,MUNICIPALIDAD DE TENO,88.13,2018
MU340,MUNICIPALIDAD DE VIÑA DEL MAR,88.83,2018
MU254,MUNICIPALIDAD DE QUILPUÉ,0.00,2018
MU318,MUNICIPALIDAD DE TIERRA AMARILLA,87.34,2018
MU245,MUNICIPALIDAD DE PUYEHUE,86.42,2018
MU185,MUNICIPALIDAD DE ÑIQUÉN,93.66,2018
MU237,MUNICIPALIDAD DE PUMANQUE,79.64,2018
MU108,MUNICIPALIDAD DE HUASCO,100.00,2018
MU122,MUNICIPALIDAD DE LA HIGUERA,0.00,2018
MU230,MUNICIPALIDAD DE PUCÓN,95.48,2018
MU288,MUNICIPALIDAD DE SAN GREGORIO,100.00,2018
MU225,MUNICIPALIDAD DE PORVENIR,0.00,2018
MU082,MUNICIPALIDAD DE EL BOSQUE,83.23,2018
MU292,MUNICIPALIDAD DE SAN JOSÉ DE MAIPO,79.64,2018
MU343,MUNICIPALIDAD DE YUMBEL,95.00,2018
MU058,MUNICIPALIDAD DE COLLIPULLI,100.00,2018
MU174,MUNICIPALIDAD DE MOLINA,93.66,2018
MU220,MUNICIPALIDAD DE PINTO,49.71,2018
MU150,MUNICIPALIDAD DE LONQUIMAY,0.00,2018
MU231,MUNICIPALIDAD DE PUDAHUEL,100.00,2018
MU078,MUNICIPALIDAD DE CURICÓ,0.00,2018
MU217,MUNICIPALIDAD DE PICA,92.51,2018
MU086,MUNICIPALIDAD DE EL TABO,0.00,2018
MU039,MUNICIPALIDAD DE CHÉPICA,87.34,2018
MU149,MUNICIPALIDAD DE LONGAVÍ,83.23,2018
MU154,MUNICIPALIDAD DE LOS LAGOS,93.22,2018
MU224,MUNICIPALIDAD DE PORTEZUELO,100.00,2018
MU212,MUNICIPALIDAD DE PEÑALOLÉN,81.00,2018
MU286,MUNICIPALIDAD DE SAN FELIPE,88.83,2018
